speaker_id,speaker_gender,repair_target_speaker_id,repair_target_speaker_gender,voice_gender_matches_target,split,category,duration_sec
Fs8,Female,F7,Female,True,train,Kalimat_Konfirmasi,4.656
Fs8,Female,F7,Female,True,train,Kalimat_Konfirmasi,6.12
Ms8,Male,M10,Male,True,val,Kalimat_Konfirmasi,4.104
Ms8,Male,M10,Male,True,val,Kalimat_Konfirmasi,4.8
Ms1,Male,M1,Male,True,train,Kalimat_Negasi,3.432
Ms1,Male,M1,Male,True,train,Kalimat_Negasi,3.888
Ms1,Male,M1,Male,True,train,Kalimat_Negasi,3.432
Ms5,Male,M6,Male,True,train,Kalimat_Negasi,3.096
Ms5,Male,M6,Male,True,train,Kalimat_Negasi,2.976
Ms6,Male,M7,Male,True,train,Kalimat_Negasi,3.648
Ms6,Male,M7,Male,True,train,Kalimat_Negasi,2.976
Fs8,Female,F7,Female,True,train,Kalimat_Negasi,3.432
Fs8,Female,F7,Female,True,train,Kalimat_Negasi,3.744
Ms8,Male,M10,Male,True,val,Kalimat_Negasi,4.152
Fs9,Female,F8,Female,True,train,Kalimat_Negasi,3.744
Ms4,Male,M5,Male,True,val,Kalimat_Penjadwalan,3.408
Ms5,Male,M6,Male,True,train,Kalimat_Penjadwalan,3.6
Ms7,Male,M9,Male,True,train,Kalimat_Penjadwalan,3.432
Fs9,Female,F8,Female,True,train,Kalimat_Penjadwalan,4.488
Ms1,Male,M1,Male,True,train,Kalimat_Perintah,5.136
Ms1,Male,M1,Male,True,train,Kalimat_Perintah,2.448
Ms1,Male,M1,Male,True,train,Kalimat_Perintah,2.496
Ms1,Male,M1,Male,True,train,Kalimat_Perintah,5.136
Ms1,Male,M1,Male,True,train,Kalimat_Perintah,2.448
Ms2,Male,M2,Male,True,train,Kalimat_Perintah,2.496
Ms3,Male,M3,Male,True,val,Kalimat_Perintah,3.192
Fs2,Female,F2,Female,True,train,Kalimat_Perintah,3.504
Ms4,Male,M5,Male,True,val,Kalimat_Perintah,2.448
Ms6,Male,M7,Male,True,train,Kalimat_Perintah,2.616
Ms9,Male,M11,Male,True,train,Kalimat_Perintah,2.616
Ms9,Male,M11,Male,True,train,Kalimat_Perintah,3.192
Ms9,Male,M11,Male,True,train,Kalimat_Perintah,5.136
Ms9,Male,M11,Male,True,train,Kalimat_Perintah,2.448
Fs9,Female,F8,Female,True,train,Kalimat_Perintah,3.048
Ms2,Male,M2,Male,True,train,Kalimat_Persuasif,4.968
Ms2,Male,M2,Male,True,train,Kalimat_Persuasif,4.968
Ms2,Male,M2,Male,True,train,Kalimat_Persuasif,4.968
Fs3,Female,F3,Female,True,train,Kalimat_Persuasif,6.408
Fs3,Female,F3,Female,True,train,Kalimat_Persuasif,7.728
Fs3,Female,F3,Female,True,train,Kalimat_Persuasif,6.408
Fs4,Female,F4,Female,True,train,Kalimat_Persuasif,9.336
Fs4,Female,F4,Female,True,train,Kalimat_Persuasif,6.408
Ms5,Male,M6,Male,True,train,Kalimat_Persuasif,4.968
Ms6,Male,M7,Male,True,train,Kalimat_Persuasif,7.032
Ms6,Male,M7,Male,True,train,Kalimat_Persuasif,7.488
Ms6,Male,M7,Male,True,train,Kalimat_Persuasif,4.968
Ms6,Male,M7,Male,True,train,Kalimat_Persuasif,5.952
Ms6,Male,M7,Male,True,train,Kalimat_Persuasif,4.968
Fs6,Female,F6,Female,True,train,Kalimat_Persuasif,8.304
Fs6,Female,F6,Female,True,train,Kalimat_Persuasif,6.408
Ms1,Male,M1,Male,True,train,Kalimat_Retoris,3.48
Ms1,Male,M1,Male,True,train,Kalimat_Retoris,3.48
Ms2,Male,M2,Male,True,train,Kalimat_Retoris,2.832
Ms2,Male,M2,Male,True,train,Kalimat_Retoris,4.464
Ms3,Male,M3,Male,True,val,Kalimat_Retoris,2.832
Fs2,Female,F2,Female,True,train,Kalimat_Retoris,5.76
Fs4,Female,F4,Female,True,train,Kalimat_Retoris,4.128
Fs4,Female,F4,Female,True,train,Kalimat_Retoris,5.664
Ms4,Male,M5,Male,True,val,Kalimat_Retoris,2.928
Ms5,Male,M6,Male,True,train,Kalimat_Retoris,4.464
Ms7,Male,M9,Male,True,train,Kalimat_Retoris,4.128
Ms7,Male,M9,Male,True,train,Kalimat_Retoris,4.752
Ms7,Male,M9,Male,True,train,Kalimat_Retoris,4.752
Fs8,Female,F7,Female,True,train,Kalimat_Retoris,5.952
Fs8,Female,F7,Female,True,train,Kalimat_Retoris,5.76
Fs8,Female,F7,Female,True,train,Kalimat_Retoris,3.792
Fs8,Female,F7,Female,True,train,Kalimat_Retoris,5.664
Ms1,Male,M1,Male,True,train,Kalimat_Seruan,3.288
Fs4,Female,F4,Female,True,train,Kalimat_Seruan,4.248
Fs9,Female,F8,Female,True,train,Kalimat_Seruan,3.192
Ms2,Male,M2,Male,True,train,Kalimat_Tanya,2.616
Ms2,Male,M2,Male,True,train,Kalimat_Tanya,3.96
Fs1,Female,F1,Female,True,train,Kalimat_Tanya,4.656
Fs1,Female,F1,Female,True,train,Kalimat_Tanya,5.04
Ms7,Male,M9,Male,True,train,Kalimat_Tanya,3.024
Ms7,Male,M9,Male,True,train,Kalimat_Tanya,3.96
Ms7,Male,M9,Male,True,train,Kalimat_Tanya,3.096
Ms7,Male,M9,Male,True,train,Kalimat_Tanya,3.96
Fs9,Female,F8,Female,True,train,Kalimat_Tanya,3.744
Fs9,Female,F8,Female,True,train,Kalimat_Tanya,5.04
